"column","threshold","n","accuracy","sensitivity","specificity","precision","f1","mcc","auc"
"SIFT_converted_rankscore",0.4,8315,0.749729404690319,0.863866910123757,0.583579444772593,0.751235003528582,0.803623667075588,0.471923896512302,0.819592975119706
"SIFT_converted_rankscore",0.5,8315,0.757787131689717,0.806857374721039,0.686355581807442,0.78924389759873,0.797953451043339,0.49592184272184,0.819592975119706
"SIFT_converted_rankscore",0.6,8315,0.756704750450992,0.741732602962061,0.778499704666273,0.829777576032683,0.783288698446706,0.51211220190426,0.819592975119706
"SIFT_converted_rankscore",0.7,8315,0.735538184004811,0.652870764861027,0.855877141169522,0.868321640582839,0.745338737695426,0.502885900177267,0.819592975119706
"SIFT_converted_rankscore",0.8,8315,0.639206253758268,0.444106309596267,0.923213230950975,0.893834218048183,0.593385741393332,0.395914580973591,0.819592975119706
"SIFT_converted_rankscore",0.9,8315,0.639206253758268,0.444106309596267,0.923213230950975,0.893834218048183,0.593385741393332,0.395914580973591,0.819592975119706
"SIFT4G_converted_rankscore",0.4,8410,0.732104637336504,0.860535318977662,0.54664341761116,0.732693625771076,0.791485423415086,0.43441019829411,0.798169253849309
"SIFT4G_converted_rankscore",0.5,8410,0.744708680142687,0.801569732340511,0.662598081952921,0.774300155520995,0.787699001285474,0.468266713652056,0.798169253849309
"SIFT4G_converted_rankscore",0.6,8410,0.73769322235434,0.722479372107064,0.759662888695147,0.812768847634141,0.764969102919241,0.474721258115716,0.798169253849309
"SIFT4G_converted_rankscore",0.7,8410,0.714387633769322,0.626484202052727,0.841325196163906,0.850778901339164,0.72160407974038,0.463950938103658,0.798169253849309
"SIFT4G_converted_rankscore",0.8,8410,0.636147443519619,0.450191185349165,0.904678872420808,0.872124756335283,0.593841252986461,0.378974727561024,0.798169253849309
"SIFT4G_converted_rankscore",0.9,8410,0.571938168846611,0.326222579995975,0.926765475152572,0.865456486919381,0.473838059047062,0.298963879107589,0.798169253849309
"MetaRNN_rankscore",0.4,8709,0.957744861637387,0.93221659524737,0.994405594405594,0.995838535164378,0.962977867203219,0.916595017883162,0.98846611510811
"MetaRNN_rankscore",0.5,8709,0.950970260649902,0.919166342033502,0.996643356643357,0.997463538363982,0.956715661429295,0.904403699824448,0.98846611510811
"MetaRNN_rankscore",0.6,8709,0.941095418532553,0.901636151149201,0.997762237762238,0.998274746603407,0.947497697267424,0.886738628707802,0.98846611510811
"MetaRNN_rankscore",0.7,8709,0.923182914226662,0.870666147253603,0.998601398601399,0.998882681564246,0.930377770839838,0.855554094530353,0.98846611510811
"MetaRNN_rankscore",0.8,8709,0.89505109656677,0.822165952473705,0.99972027972028,0.999763145428707,0.902308678922617,0.80898507881988,0.98846611510811
"MetaRNN_rankscore",0.9,8709,0.839935698702492,0.728671601090767,0.99972027972028,0.99973276322822,0.842947273546643,0.723822501383108,0.98846611510811
"REVEL_rankscore",0.4,8443,0.837498519483596,0.989141363362156,0.620172910662824,0.788680455347122,0.877609277430865,0.682377491669883,0.972522109303785
"REVEL_rankscore",0.5,8443,0.879071420111335,0.981902272270259,0.731700288184438,0.839869281045752,0.905349031241309,0.758224057432085,0.972522109303785
"REVEL_rankscore",0.6,8443,0.905839156697856,0.965614317313493,0.820172910662824,0.884998157021747,0.923550341378979,0.806773050926884,0.972522109303785
"REVEL_rankscore",0.7,8443,0.919696790240436,0.941484013673839,0.888472622478386,0.923653580587887,0.932483569010157,0.833672899728225,0.972522109303785
"REVEL_rankscore",0.8,8443,0.910695250503376,0.887593002211944,0.943804034582133,0.9576914732046,0.921310791066583,0.821586001490388,0.972522109303785
"REVEL_rankscore",0.9,8443,0.842354613289115,0.746430725919968,0.979827089337176,0.981491274457959,0.84797258709309,0.718562373344674,0.972522109303785
